Frog,Morph,Color,Slide/section,Total area,Melanophores,%mel,Xanthophores,%xan,Glands,%glands,Epidermis,Data analyzed
PC22,striped,yellow,S5-2-2,310530,34602,11.14,21225,6.84,15700,5.06,64552,8/7
PC22,striped,yellow,S9-1-1,325049,27191,8.37,28441,8.75,14719,4.53,64289,8/7
PC22,striped,yellow,S9-2-1,211051,21521,10.20,22305,10.57,14156,6.71,47350,8/7
PC22,striped,yellow,S9-3-1,304412,26313,8.64,27667,9.09,26825,8.81,57286,8/7
PC22,striped,yellow,S9-4-1,303015,35488,11.71,31122,10.27,14274,4.71,74912,8/7
PC22,striped,yellow,S10-1-1,143317,14585,10.18,13377,9.33,6574,4.59,37044,8/7
PC22,striped,yellow,S10-2-1,122896,10937,8.90,9617,7.83,12889,10.49,27254,8/7
PC22,striped,yellow,S10-3-1,152158,5540,3.64,19987,13.14,11707,7.69,34859,8/7
PC22,striped,yellow,S11-1-1,220831,16147,7.31,22895,10.37,26331,11.92,38581,8/7
PC22,striped,yellow,S11-2-1,285424,19778,6.93,29268,10.25,15166,5.31,42594,8/7
PC22,striped,yellow,S11-3-1,246967,16561,6.71,32652,13.22,6543,2.65,41095,8/7
PC22,striped,yellow,S13-3-1,254181,14314,5.63,13615,5.36,16328,6.42,51167,8/7
PC23,striped,yellow,S8-2-1,360502,66531,18.46,0,0.00,35480,9.84,73222,8/7
PC23,striped,yellow,S8-3-1,412989,76311,18.48,0,0.00,47348,11.46,89985,8/7
PC23,striped,yellow,S10-1-1,324494,76438,23.56,0,0.00,40179,12.38,77219,8/7
PC23,striped,yellow,S10-1-2,282376,63779,22.59,0,0.00,29438,10.43,62111,8/7
PC23,striped,yellow,S10-2-2,310389,34433,11.09,11682,3.76,38137,12.29,31833,8/7
PC23,striped,yellow,S10-3-1,248036,57076,23.01,8128,3.28,8959,3.61,44328,8/7
PC23,striped,yellow,S10-3-2,292985,33991,11.60,36240,12.37,49541,16.91,37505,8/7
PC23,striped,yellow,S11-1-1,250789,37320,14.88,10586,4.22,11300,4.51,49863,8/7
